"","text","screen_name","user_id","created_at","favourite_count","retweet_count","location","followers_count","friends_count","account_lang"
"1313","@RepRickAllen Can your party please stop turning everything into a partisan issue for five fucking seconds holy shit","smlwaves",1369484639845425152,"2021-03-10 03:05:56",0,0,"Philadelphia, PA",28,82,NA
"1314","RT @idiamondbabu: *Makkal Needhi Maiam party President Mr Kamal Haasan's Press Meet Invite - 10 Mar 2021, 4.30 PM*

@ikamalhaasan
#KamalHaa…","Karthik199815",1369484639199399936,"2021-03-10 03:05:56",0,3,"Chennai, India",1210,2950,NA
"1315","Slumber party https://t.co/FfFpHxkUCF","3iwannadie3",1369484639136579584,"2021-03-10 03:05:56",0,0,"he/she minor",142,138,NA
"1316","@EStreachailt @WomenReadWomen Lifelong Dem, totally annoyed the media won't cover this. Also, I've never been a sin… https://t.co/yozYLBEniM","amy_adhd",1369484638918504448,"2021-03-10 03:05:56",0,0,"",859,1255,NA
"1317","@MungKiwi @Suzyiam And a party hat 🥳","MsKatsPurdle",1369484637735591936,"2021-03-10 03:05:56",1,0,"New Zealand",51,246,NA
"1318","RT @beautykkuno: i just remembered the pummel party stream remember sleepykkuno being all grumpy, the simping from both corps and syk, the…","K0nekoKatt",1369484637609791488,"2021-03-10 03:05:56",0,2,NA,NA,NA,NA
"1319","RT @kegeiger: ""NO PASSPORT TIMELINE PART 1""

May/June 2018 (10 days): Seychelles 

Aug 2018: Italy - Clooney's villa (7 days?)

Sept 21-23…","Si__iS",1369484636460478464,"2021-03-10 03:05:55",0,83,"ÜT: 12.7881448,100.920799",368,1761,NA
"1320","RT @amritbakhshy: Thanks to structured lobbying in 2019, two national parties included implementation of MHCA 2017 in their manifestos. For…","docbhooshan",1369484635315470336,"2021-03-10 03:05:55",0,1,"Pune. India",11513,1791,NA
"1321","@MysterySolvent An ugly dress party? Since we couldn’t have ugly sweater parties #Christmas2020?","englishbuzz",1369484632232587264,"2021-03-10 03:05:54",0,0,"",149,789,NA
"1322","@psamp Party Hard Forever. Ringside camera crew never misses a shot. https://t.co/lvIMamixj8 https://t.co/PZR5TmlrWN","ChadTheShad",1369484622896173056,"2021-03-10 03:05:52",0,0,"Pittsburgh PA ",260,388,NA
"1323","Trump goes to war against the DC RINOs in the Republican Party https://t.co/nzAzuB596d","dhrxsol1234",1369484621809807360,"2021-03-10 03:05:52",3,2,"RT does not related to Like ",14516,13655,NA
"1324","RT @FriendWithin: Album listening party and Q&amp;A. 
Thursday 11th March. https://t.co/ikVTlY9hQP","nilechunky",1369484619603644416,"2021-03-10 03:05:51",0,1,"London, England",666,625,NA
"1325","@mcoutts81 @techclassrocks I’m not even ashamed to admit that this was me at our Karate school’s Halloween party a… https://t.co/NuuA0xctwq","LangstonEdTech",1369484615312871424,"2021-03-10 03:05:50",2,0,"Georgia, USA",1207,1349,NA
"1326","RT @nataliegwinters: 🚨EXC: Bill Gates Advised Chinese Communist Party Influence Group ‘Conducting Propaganda Campaigns’.
https://t.co/RjT8n…","yanhuali2",1369484614134206464,"2021-03-10 03:05:50",0,60,"",379,555,NA
"1327","RT @sugashinik: .@maiamofficial Party President @ikamalhaasan's Press Meet Invite - 10 Mar 2021,4.30 PM,GRT Grand Hotel, Convention Center,…","Nara310758",1369484613974855680,"2021-03-10 03:05:50",0,49,"Chennai, India",1553,1000,NA
"1328","@HanSutherland28 ""presumption"" does not equal ""fact"" of innocence. #MorrisonRapeCrisis - self-made due to choosing… https://t.co/jwH0jy3AV0","suemulhall",1369484612456521728,"2021-03-10 03:05:50",0,0,"Singapore",138,575,NA
"1329","Save the date &amp; join us for a Norwex zoom party! https://t.co/lHtXSN3JhZ","CDCMrsGuinn",1369484611319906304,"2021-03-10 03:05:49",0,0,"",261,295,NA
"1330","@Evelyn371YSO @OMasood8842 @anniekarni @maggieNYT Well, people turned out in near record numbers to get rid of him,… https://t.co/dP0lPj3UMc","james_98188",1369484608249626624,"2021-03-10 03:05:49",0,0,"",79,51,NA
"1331","RT @CardanoDan: You got to fight, for your right, to party!!! #Cardano $ADA","mangjerry88",1369484607205281792,"2021-03-10 03:05:48",0,19,"Jos, Nigeria",578,2530,NA
"1332","The Republican Party, in Georgia, in Iowa, in many other states, has one solution to prevent losing again - naked v… https://t.co/EFllEQ73ag","CarlDunnJr",1369484607079514112,"2021-03-10 03:05:48",2,0,"Houston, TX",8490,6434,NA
"1333","A reply party will be held on Weverse from today! 

When the member replying messages appears, Click on… https://t.co/2MIZF34YfU","nauveesrt",1369484606764806144,"2021-03-10 03:05:48",1,2,"🇸🇬NU'ni Minyeon Book Club 🤓",1054,1123,NA
"1334","RT @HRyanviChandler: *SRK reaches US*

 Airport security - https://t.co/RxFi9iXNU4","party_banna",1369484605347139584,"2021-03-10 03:05:48",0,135,"रतलामी हूं भिया",775,1073,NA
"1335","HELPPP 🆘 !! What do you think I have to wear for tonight's party 🎉? https://t.co/NGPT7Rg0NK","Isabella66091",1369484604424531968,"2021-03-10 03:05:48",0,0,NA,NA,NA,NA
"1336","Dailymail will do everything to get the party invitation at the palace eh https://t.co/IUK92Q2z4b","thehaniff",1369484604092993536,"2021-03-10 03:05:48",0,0,"Brookhaven, Middle-earth",3755,223,NA
"1337","@bloqchains @EricWolfson They're both shit. Both parties are shit. Neither of them care about working people, only… https://t.co/UyaQjHZKWI","StarsongChara",1369484603887599616,"2021-03-10 03:05:48",0,0,"Astral, probably hugging Azzy",50,341,NA
"1338","@atrupar The minority party in the US has now been brainwashed to believe they can't possibly lose an election unless democrats cheat.","thelukeparticle",1369484602683850752,"2021-03-10 03:05:47",0,0,"",581,751,NA
"1339","@KittieMag57 @ProudSocialist Then you must craving at Wall Street and don't mind the working class suffering, Becau… https://t.co/JlxnMEG7Sp","MotorRigor",1369484602260258816,"2021-03-10 03:05:47",0,0,"Metro Chicago",516,1789,NA
"1340","@6AMGroup @PurpleDiscoM  at CRSSD boat after party 🕺🏽","Gabej2396",1369484600427175936,"2021-03-10 03:05:47",1,0,"Los Angeles, CA",6,37,NA
"1341","@PauleyTeeks @laurenboebert Funny, putting a video of Democrats marching in their KKK uniforms in the background. M… https://t.co/yZb5boNcrq","l2atl3astard",1369484600389566464,"2021-03-10 03:05:47",0,0,"",6,15,NA
"1342","RT @btsyoutubedata: Streaming Party pt.2 🥳🥳

Watch the MVs until the end , leave a nice comment &amp; Drop your ss

Keyword : Dynamite soon 900M","Ttaevel_Tear",1369484600225959936,"2021-03-10 03:05:47",0,600,"",203,278,NA
"1343","@WalleyAGSL @PoliticalGeeker @LeftistDentist @peterdaou When a party can't handle the truth, blocking is a rather c… https://t.co/idNNXTEZKj","Bill__Wendt",1369484597633806336,"2021-03-10 03:05:46",0,0,"",27,720,NA
"1344","RT @Tee40230107: Spartan Ninjas are having a party 🤣🤣🤣🤣🤣🤣

#LandLadyNengi","Nekky111",1369484597533282304,"2021-03-10 03:05:46",0,109,"Surulere,lagos",2914,1953,NA
"1345","2020 Fashion Real Pearl Jewelry Set Bohemian Multi-Color Glass Beads Freshwater Pearl Necklace and Bracelet for Wom… https://t.co/eCg2jLbSgx","ChenangoMarket",1369484594085584896,"2021-03-10 03:05:45",0,0,"",28,0,NA
"1346","RT @cloudiemcdoom: CHOKO JOINS THE PARTY! 🥳
Bobby Brown - Every Little Step 🎧 https://t.co/z3Gv9K2oc7","fijilindoo",1369484593708101632,"2021-03-10 03:05:45",0,455,NA,NA,NA,NA
"1347","@OANN The Grenell Principle: only GOP nominees are permitted to criticize lawmakers from the opposing party and be confirmed.","ywwd",1369484593565372416,"2021-03-10 03:05:45",0,0,"My dysfunctional plutocracy",137,1196,NA
"1348","RT @Harry_Styles: A little party never killed nobody.","0NLYFINELINES",1369484591552073728,"2021-03-10 03:05:45",0,231238,"only you know me the way you know me",1039,1013,NA
"1349","RT @HeerJeet: This actually happened: A Republican President incited a mob to attack Congress. The vast majority of Congressional GOP refus…","oracoraque",1369484589786296320,"2021-03-10 03:05:44",0,55,"Laguna Beach, CA",189,1594,NA
"1350","wait haha sapnap punching someone at a party woah wow ive read that one","dsmpkarlnap",1369484583310266368,"2021-03-10 03:05:43",0,0,"honk/he/they",740,907,NA
"1351","RT @DoneFlowar: Notice how CNN isn’t covering the DSA overthrow of the Nevada Democratic Party...🤫🤔🤭","TelecomixCanada",1369484582249242624,"2021-03-10 03:05:42",0,470,"",2141,208,NA
"1352","RT @DomDiFurio: This North Texas mask burning event planned for tomorrow has everything:
- A bonfire
- Shelley Luther
- Liability waivers f…","elithedemocrat",1369484581720711168,"2021-03-10 03:05:42",0,63,"Midland, TX",153,71,NA
"1353","A double cheat: President * installed via subterfuge and a woman who couldn't win her party's primary assuming an o… https://t.co/6ndE2VQOaM","baileyjer",1369484580814749696,"2021-03-10 03:05:42",0,0,"South Carolina, USA",61580,54809,NA
"1354","Now Playing: Party People (DJ Spen &amp; Micfreak Radio Edit) by Crystal Waters &amp; DJ Spen https://t.co/nXDpysl5Ar","Beats360",1369484579309056000,"2021-03-10 03:05:42",0,0,"",513,927,NA
